taxon id,taxon name,LJ_2017_033.gz,LJ_2017_035.gz,LJ_2017_036.gz,LJ_2017_039.gz,LJ_2017_040.gz,PS1_P1.gz,PS1_P2.gz,Rhizo_P1.gz,Rhizo_P2.gz
1,root,33560801,29847687,30393525,31521424,31764248,32910042,26831077,42636102,31513024
747676,Melampsora larici-populina 98AG31,86162,62685,36208,58816,70148,55373,80800,89509,81908
941280,Escherichia coli O25b:H4,148186,139316,21203,79642,32886,8934,40748,22237,26680
1176131,Aulographum hederae CBS 113979,75211,52351,24131,55798,58586,14539,15292,44543,28272
1236481,Bacillus stratosphericus LAMA 585,100344,88413,13115,57918,22153,7524,33461,18566,20321
913774,Oidiodendron maius Zn,30268,30028,14466,34585,39330,56038,26690,37997,44898
405955,Escherichia coli APEC O1,78554,66814,10585,46270,19450,6672,28973,17532,18559
645657,Bacillus subtilis subsp. natto BEST195,74970,52401,7622,40747,15882,4918,21468,12654,13267
914234,Gelatoporia subvermispora B,15688,12815,8650,11864,17785,17077,15797,51122,64277
575599,Lactobacillus fermentum 28-3-CHN,61403,43811,6627,33080,13464,4368,18190,11195,11524
747089,Rhizophagus irregularis DAOM 181602=DAOM 197198,19348,13747,7358,14216,15561,31081,44432,19314,35762
1392250,Aspergillus steynii IBT 23096,30469,21714,10497,20297,23096,15838,12968,26449,28940
1051890,Terfezia boudieri ATCC MYA-4762,17201,44674,37378,32811,16185,9748,3200,7505,8766
933852,Serendipita vermifera MAFF 305830,10551,9933,3809,8175,10005,23206,19981,58286,29438
1392255,Aspergillus novofumigatus IBT 16806,21079,22669,12955,20453,15866,12318,10766,28472,28586
309807,Salinibacter ruber DSM 13855,36408,26296,11662,47552,46648,158,93,289,130
1220926,Mucor circinelloides 1006PhL,15662,15487,7330,12376,16107,39604,12504,33545,12951
578455,Thermothielavioides terrestris NRRL 8126,19986,38074,7200,17381,19217,4830,8786,28656,11577
290338,Citrobacter koseri ATCC BAA-895,44944,34816,5031,22869,9530,3407,14948,8259,9135
1392245,Dothidotthia symphoricarpi CBS 119687,25551,16104,9175,15612,20579,11741,12001,16937,10435
1149755,Hyaloscypha variabilis F,12464,28528,16707,19165,8209,5129,7158,20995,17546
306901,Chaetomium globosum CBS 148.51,30262,27985,13202,22664,28022,2483,2431,4712,2305
679204,Escherichia coli MS 145-7,41198,31345,4162,22134,7993,2410,11374,6259,7098
1314801,Pleomassaria siparia CBS 279.74,18642,18502,12714,17525,22683,11828,4758,18193,8599
1448321,Aspergillus heteromorphus CBS 117.55,16936,18219,7587,13920,14864,8773,15159,14997,22627
452589,Trichoderma atroviride IMI 206040,36596,22660,9817,17985,22626,3677,4289,7557,6541
686832,Hebeloma cylindrosporum h7,6226,4797,3870,4324,86885,5864,4706,9022,5482
510952,Neurospora tetrasperma FGSC 2509,21186,18494,7479,16421,16805,5386,5815,22737,16690
1392246,Amniculicola lignicola CBS 123094,21773,16592,8094,15948,19685,10057,8739,14241,14458
764103,Mixia osmundae IAM 14324,14781,12858,7003,10154,13497,13828,8815,30646,17574
498761,Heliobacterium modesticaldum Ice1,33014,29252,4957,22810,9736,3265,10955,7245,6813
763407,Phycomyces blakesleeanus NRRL 1555(-),53332,16298,4597,9860,14397,4870,5109,10039,9051
431241,Trichoderma reesei QM6a,28215,25364,7578,20019,21776,1671,3319,16777,2789
185431,Trypanosoma brucei brucei TREU927,10801,7998,3657,7017,6987,37054,10396,34865,8101
1051891,Tulasnella calospora MUT 4182,2936,2646,1143,2776,3034,41773,7558,43323,18977
1392256,Aspergillus ochraceoroseus IBT 24754,13512,19659,22138,19927,9707,5243,4440,8094,16946
1447944,Gymnopus androsaceus JB14,15517,12509,7254,11668,13282,10895,7559,24399,13377
1120955,Afifella marina DSM 2698,4243,2875,1246,3861,3332,38848,15028,29211,16306
698492,Saitoella complicata NRRL Y-17804,11414,18288,12782,11630,9421,4385,16357,9068,21379
946122,Amanita muscaria Koide BX008,16384,7622,5133,8259,27830,3039,3392,5224,35126
1053205,Bacillus cereus HuA3-9,31582,23199,3333,17493,7347,1961,8497,4618,5124
763665,Coemansia reversa NRRL 1564,6245,6546,4372,5840,3522,26836,4134,35541,9771
